api_response_time_ms,monthly_ip_variation,avg_network_latency,unique_active_devices,days_since_app_update,internal_engagement_score,nps_satisfaction_score,monthly_usage_frequency,open_support_tickets,promotional_discount_pct,current_subscription_tier,customer_age,declared_income,virtual_wallet_balance,email_open_rate,newsletter_clicks,historical_purchases,account_age_days,payment_method,assigned_server_region,subscription_status
18.61512744419849,7.0,30.069943706202466,8,7,22.60611784218779,2,20,1,0,1.0,55,50058.41,31.7,29.800941386895285,3,5,533,Bank Transfer,Region_16,0
57.21421490464667,,109.41078630435415,8,16,79.15427438474347,10,91,0,10,2.0,21,62994.41,104.73,42.1986969624568,6,2,561,PayPal,Region_39,2
32.24708750626012,7.0,55.214022811975454,7,10,74.51459225087642,10,43,0,5,1.0,20,52248.29,16.54,14.623550662765455,2,1,106,Credit Card,Region_11,1
7.054161423508579,2.0,13.777964894078963,3,14,20.28216645694034,1,59,0,10,1.0,56,34111.91,0.0,12.529304405097703,0,2,562,Bank Transfer,Region_14,0
19.782102091939223,1.0,32.64879644141127,3,8,70.39564204183878,0,70,3,0,2.0,24,49210.62,0.0,20.658355718419497,1,1,1936,PayPal,Region_07,0
13.524464255078588,1.0,15.946613367359163,1,3,70.27048928510158,2,30,2,0,3.0,33,21978.82,0.0,12.897243192534255,1,0,332,PayPal,Region_25,0
10.509600201031386,1.0,19.908406328316303,2,9,70.21019200402063,10,86,0,0,2.0,40,25746.01,74.44,38.30021592573325,1,1,1852,Bank Transfer,Region_11,0
25.980737211001127,1.0,52.34116644993229,1,15,70.51961474422002,2,12,0,10,5.0,27,31563.03,43.74,33.13056471932568,3,3,1894,PayPal,Region_33,1
12.055318198426306,3.0,21.38929849820373,4,8,20.72331909190558,8,44,3,5,1.0,29,46170.29,0.0,31.240611816804858,1,6,247,Bank Transfer,Region_32,1
28.88900649328045,,44.591918871623676,4,1,72.31112051946243,1,99,0,0,3.0,58,55363.2,89.52,22.556813781642067,1,3,1561,Bank Transfer,Region_20,1
8.070790208259453,1.0,15.072775290119091,5,9,20.161415804165188,1,1,0,0,1.0,18,54237.3,449.16,2.4187499030224413,0,4,55,Bank Transfer,Region_04,0
26.021728112669035,10.0,43.0593536595773,8,9,75.20434562253381,8,33,2,20,1.0,40,56919.15,17.79,13.875991105374528,2,2,174,PayPal,Region_37,2
13.343859620476673,5.0,10.921421900629202,5,8,21.334385962047666,2,68,2,0,1.0,33,51772.34,76.81,53.08408858090745,4,1,990,Credit Card,Region_33,1
19.012094893771685,4.0,33.81735220017133,4,9,71.52096759150173,9,65,0,0,1.0,52,58150.94,322.33,36.14993266555906,3,2,373,Crypto,Region_22,0
9.471569643595885,2.0,19.637246327912756,2,10,20.378862785743834,1,61,0,0,2.0,25,72391.45,403.49,26.946187451502762,4,4,967,Crypto,Region_36,0
22.499454938617216,3.0,46.387546280170575,2,15,71.34996729631703,2,46,0,0,,22,38832.61,0.0,14.93674681808711,1,1,1622,Crypto,Region_01,0
9.832364208756456,3.0,26.482529275572325,2,16,20.58994185252539,0,97,0,0,1.0,25,49332.16,0.0,24.33394018362224,1,6,1495,Crypto,Region_07,0
6.153720245906375,2.0,14.331374829564023,1,26,20.246148809836257,1,1,0,0,4.0,32,64540.72,28.77,72.22907427593152,9,2,301,Bank Transfer,Region_08,0
7.794280722364094,3.0,18.69754234328334,4,13,70.46765684334184,8,83,0,5,1.0,18,52084.86,0.0,33.94743451342103,1,2,1106,Bank Transfer,Region_08,0
19.971867293778946,1.0,29.52653387841177,2,9,20.39943734587558,1,71,3,10,5.0,35,80622.98,7.22,9.4079472924891,0,3,750,Credit Card,Region_26,0
23.04942282099716,3.0,49.59809008552616,6,16,21.38296536925983,8,86,1,10,1.0,48,57636.56,101.56,19.372719651099597,0,0,1289,Crypto,Region_24,1
9.783380526268616,,23.94688585514126,2,16,70.39133522105074,0,36,2,0,4.0,33,47459.26,59.86,43.06471426413301,2,0,706,PayPal,Region_27,0
12.987758894311431,4.0,21.54238858492796,6,8,71.03902071154492,2,79,0,10,2.0,26,41637.43,0.0,1.3932793407549058,0,3,1680,Credit Card,Region_20,0
14.890346163335433,2.0,30.210923720442995,4,15,70.59561384653341,8,85,5,0,4.0,34,58385.61,0.0,35.69257667244028,1,1,368,Crypto,Region_40,0
190.4795080244003,2.0,37.19165236163511,4,13,20.7619180320976,8,62,2,95,2.0,25,75126.96,0.0,29.20067250599937,3,1,1741,PayPal,Region_03,0
43.78974650672352,4.0,86.17261126485431,5,2,73.50317972053789,10,55,0,0,3.0,42,66196.41,0.0,36.2144851747219,2,2,1996,PayPal,Region_07,1
10.5496484984479,2.0,18.2338284364068,3,10,20.421985939937915,0,45,0,50,1.0,32,59726.74,73.97,35.83461558300052,0,1,300,Bank Transfer,Region_11,0
7.167672070745629,1.0,9.170646538842075,3,16,20.143353441414913,9,62,0,10,2.0,43,36662.28,67.93,50.91178339606398,8,3,1153,PayPal,Region_31,0
10.32547286179227,2.0,16.135859302919368,2,21,70.41301891447169,1,7,0,5,1.0,37,56081.92,0.0,8.873278055159336,1,2,1595,Bank Transfer,Region_39,0
13.519217647524707,3.0,28.81857168236381,4,16,70.81115305885149,10,54,0,5,2.0,58,26036.27,56.44,43.52826308814244,1,1,429,PayPal,Region_38,0
16.684771705919548,2.0,20.43323701994352,3,8,70.66739086823678,9,42,0,0,1.0,43,68948.63,246.99,24.66358139610665,2,2,532,Credit Card,Region_18,1
8.307341434560831,3.0,1.0,3,11,70.49844048607365,1,89,0,10,5.0,24,58505.18,191.34,6.478359912082459,0,2,1074,PayPal,Region_19,0
13.978426161680087,3.0,29.63241212586405,4,16,70.8387055697008,0,22,2,50,,30,92100.0,170.1,57.62962921143456,6,3,1099,Credit Card,Region_23,0
43.83966755079401,10.0,80.28542891220572,9,0,78.7679335101588,0,15,1,5,1.0,25,66154.39,32.47,43.79712576955051,6,5,1995,PayPal,Region_26,2
45.29147378759487,8.0,81.61696949918665,6,8,27.246635806015178,9,84,0,50,1.0,18,69295.49,419.63,8.971986123525614,1,3,611,Crypto,Region_08,2
18.11249200284709,3.0,26.07475246518248,4,18,21.086749520170827,0,51,0,0,2.0,31,71050.79,74.27,23.74186811287702,1,2,1329,Crypto,Region_15,1
11.109934569693646,2.0,11.448433402472123,1,15,20.444397382787745,2,92,1,10,1.0,33,57365.93,0.0,37.1013524420577,1,1,481,Credit Card,Region_28,0
8.41744840289985,1.0,11.978761707728804,1,10,20.168348968057998,9,53,0,10,1.0,21,55723.92,183.87,17.44844762642161,2,3,2008,PayPal,Region_13,0
